experiment,model,item,score,score_top_n,category,H_score,score_expected
AUDIT scale,Apertus-70B-Instruct-2509,1,1.4989805809072052,1.4979364910019484,,,
AUDIT scale,Apertus-70B-Instruct-2509,2,2.391214678100804,1.9657116077830408,,,
AUDIT scale,Apertus-70B-Instruct-2509,3,2.013074820944971,1.4461169456906875,,,
AUDIT scale,Apertus-70B-Instruct-2509,4,2.167865355771023,1.6696412918970736,,,
AUDIT scale,Apertus-70B-Instruct-2509,5,1.936778670700495,1.2238971221008708,,,
AUDIT scale,Apertus-70B-Instruct-2509,6,1.9699771125762435,1.1800663343449085,,,
AUDIT scale,Apertus-70B-Instruct-2509,7,1.9208234328602063,1.189802345597602,,,
AUDIT scale,Apertus-70B-Instruct-2509,8,2.047416126613214,1.3765721974909573,,,
AUDIT scale,Apertus-70B-Instruct-2509,9,1.9595415570203545,1.3884882942064731,,,
AUDIT scale,Apertus-70B-Instruct-2509,10,1.4894143743754282,1.1935931020232569,,,
AUDIT scale,Apertus-70B-Instruct-2509,11,1.45357312345218,1.0886411216525838,,,
AUDIT scale,Apertus-8B-Instruct-2509,1,1.2000523273118782,1.0099313605926872,,,
AUDIT scale,Apertus-8B-Instruct-2509,2,2.974747683963226,3.0,,,
AUDIT scale,Apertus-8B-Instruct-2509,3,2.7758328142741626,2.7279253502867906,,,
AUDIT scale,Apertus-8B-Instruct-2509,4,2.86567370898164,2.944109435024747,,,
AUDIT scale,Apertus-8B-Instruct-2509,5,2.7560752129584305,2.3640356546001287,,,
AUDIT scale,Apertus-8B-Instruct-2509,6,2.7566948428606173,2.2959622119240493,,,
AUDIT scale,Apertus-8B-Instruct-2509,7,2.783516113521252,2.59215165822666,,,
AUDIT scale,Apertus-8B-Instruct-2509,8,2.8111123684692783,2.4161643085206617,,,
AUDIT scale,Apertus-8B-Instruct-2509,9,2.8244141403318923,2.587411171946585,,,
AUDIT scale,Apertus-8B-Instruct-2509,10,2.4404430787473275,2.8815629665487923,,,
AUDIT scale,Apertus-8B-Instruct-2509,11,2.458526774502481,2.960698835028719,,,
AUDIT scale,Falcon-3-10B-Instruct,1,1.506963233770466,1.4911263797448555,,,
AUDIT scale,Falcon-3-10B-Instruct,2,3.333862322290806,3.807302447701328,,,
