experiment,model,item,score,score_top_n,category,H_score,score_expected
AUDIT scale,Apertus-70B-Instruct-2509,1,0.9152854216255816,0.8985812823155657,,,
AUDIT scale,Apertus-70B-Instruct-2509,2,2.5171628910633803,2.5997188992413576,,,
AUDIT scale,Apertus-70B-Instruct-2509,3,0.6328708861893769,0.4864747490472824,,,
AUDIT scale,Apertus-70B-Instruct-2509,4,1.097679446900906,1.1299497599276676,,,
AUDIT scale,Apertus-70B-Instruct-2509,5,0.2605631740015668,0.2145706070509849,,,
AUDIT scale,Apertus-70B-Instruct-2509,6,0.205839468033046,0.1800663343449086,,,
AUDIT scale,Apertus-70B-Instruct-2509,7,0.0183704123171811,0.0296539293221673,,,
AUDIT scale,Apertus-70B-Instruct-2509,8,0.3867251050339234,0.2987168943889989,,,
AUDIT scale,Apertus-70B-Instruct-2509,9,0.3218238728044634,0.3136997203079624,,,
AUDIT scale,Apertus-70B-Instruct-2509,10,0.3262189340670869,0.3595160628969777,,,
AUDIT scale,Apertus-70B-Instruct-2509,11,0.2325836408872038,0.1772822433051674,,,
AUDIT scale,Apertus-8B-Instruct-2509,1,0.9139032358962972,0.8901345528262489,,,
AUDIT scale,Apertus-8B-Instruct-2509,2,2.112209864820599,2.0,,,
AUDIT scale,Apertus-8B-Instruct-2509,3,0.976873541562642,1.6551486371149409,,,
AUDIT scale,Apertus-8B-Instruct-2509,4,1.4214873615300132,1.9441094350247472,,,
AUDIT scale,Apertus-8B-Instruct-2509,5,0.4125781971620245,0.8714012847644951,,,
AUDIT scale,Apertus-8B-Instruct-2509,6,0.1773598790275881,0.3348240445801244,,,
AUDIT scale,Apertus-8B-Instruct-2509,7,0.0188474635644964,0.0331233410876777,,,
AUDIT scale,Apertus-8B-Instruct-2509,8,0.5667526986986611,1.1138611313283011,,,
AUDIT scale,Apertus-8B-Instruct-2509,9,0.3789006973631764,0.8121716771721283,,,
AUDIT scale,Apertus-8B-Instruct-2509,10,0.1451629063229932,0.0782479939683676,,,
AUDIT scale,Apertus-8B-Instruct-2509,11,0.1453244405985602,0.040402717957668,,,
AUDIT scale,Falcon-3-10B-Instruct,1,0.919007396917566,0.8614554326367841,,,
AUDIT scale,Falcon-3-10B-Instruct,2,2.43689928003467,2.684526463635467,,,
AUDIT scale,Falcon-3-10B-Instruct,3,0.5335711827119486,0.0912482547913726,,,
AUDIT scale,Falcon-3-10B-Instruct,4,0.8602415403416303,0.2163697399128071,,,
AUDIT scale,Falcon-3-10B-Instruct,5,0.1529941925581676,0.0433140297211621,,,
AUDIT scale,Falcon-3-10B-Instruct,6,0.1232499694336319,0.0,,,
AUDIT scale,Falcon-3-10B-Instruct,7,0.010199134438752,0.0,,,
AUDIT scale,Falcon-3-10B-Instruct,8,0.2536273513478569,0.0,,,
AUDIT scale,Falcon-3-10B-Instruct,9,0.1839882600770626,0.0,,,
AUDIT scale,Falcon-3-10B-Instruct,10,0.2108611061130877,0.1618094898278184,,,
AUDIT scale,Falcon-3-10B-Instruct,11,0.1889689385541675,0.1812323601612399,,,
AUDIT scale,Falcon-3-1B-Instruct,1,0.9224453206461348,0.8790669238470333,,,
AUDIT scale,Falcon-3-1B-Instruct,2,2.2976323219986075,2.272663760561035,,,
AUDIT scale,Falcon-3-1B-Instruct,3,1.0322783219729752,1.25958929725064,,,
AUDIT scale,Falcon-3-1B-Instruct,4,1.4341643669456654,1.5094634969553156,,,
AUDIT scale,Falcon-3-1B-Instruct,5,0.5741471836411106,0.9007006153735289,,,
AUDIT scale,Falcon-3-1B-Instruct,6,0.470676200672847,0.8193092398390491,,,
AUDIT scale,Falcon-3-1B-Instruct,7,0.0593609482317334,0.1328499948210621,,,
AUDIT scale,Falcon-3-1B-Instruct,8,0.7766160522595518,1.063066587632045,,,
AUDIT scale,Falcon-3-1B-Instruct,9,0.6142850735889032,0.9041282629612998,,,
AUDIT scale,Falcon-3-1B-Instruct,10,0.2492408668554125,0.1839158055628191,,,
AUDIT scale,Falcon-3-1B-Instruct,11,0.2157971131634675,0.0813492047997523,,,
AUDIT scale,Falcon-3-7B-Instruct,1,0.9237410095990976,0.9300336637007912,,,
AUDIT scale,Falcon-3-7B-Instruct,2,2.3083020260293803,2.371779477455513,,,
AUDIT scale,Falcon-3-7B-Instruct,3,1.034719274884404,1.2653894372492505,,,
AUDIT scale,Falcon-3-7B-Instruct,4,1.4253535563339736,1.5878505459448131,,,
AUDIT scale,Falcon-3-7B-Instruct,5,0.5979248987112572,0.9845242253120564,,,
AUDIT scale,Falcon-3-7B-Instruct,6,0.4170348210999569,0.7210081835022736,,,
AUDIT scale,Falcon-3-7B-Instruct,7,0.0554382897295292,0.1474855058369935,,,
AUDIT scale,Falcon-3-7B-Instruct,8,0.7177533325311884,0.9665558010967024,,,
AUDIT scale,Falcon-3-7B-Instruct,9,0.6198629725833033,1.0634153617681492,,,
AUDIT scale,Falcon-3-7B-Instruct,10,0.3782975235298932,0.594804347435592,,,
AUDIT scale,Falcon-3-7B-Instruct,11,0.293327018993466,0.4494929547672028,,,
AUDIT scale,LFM2-1.2B,1,0.9182503771664255,0.9398799992298372,,,
AUDIT scale,LFM2-1.2B,2,2.3412166136779056,2.429895484232953,,,
AUDIT scale,LFM2-1.2B,3,0.5303302110015456,0.3513736130652486,,,
AUDIT scale,LFM2-1.2B,4,0.8676243558858638,0.4911841571162277,,,
AUDIT scale,LFM2-1.2B,5,0.161746764230367,0.0775307297295203,,,
AUDIT scale,LFM2-1.2B,6,0.078808232261475,0.0225085263320542,,,
AUDIT scale,LFM2-1.2B,7,0.0075108639005883,0.0,,,
AUDIT scale,LFM2-1.2B,8,0.255828268074962,0.1156473487497738,,,
AUDIT scale,LFM2-1.2B,9,0.1461353022258677,0.0569381062539161,,,
AUDIT scale,LFM2-1.2B,10,0.1678045396978003,0.2036668052101305,,,
AUDIT scale,LFM2-1.2B,11,0.1607166034203885,0.1637030207410881,,,
AUDIT scale,LFM2-2.6B,1,0.922128769211618,0.9601345058421842,,,
AUDIT scale,LFM2-2.6B,2,2.37735364059672,2.3115209414625166,,,
AUDIT scale,LFM2-2.6B,3,0.6955561064336614,0.4871568618881217,,,
AUDIT scale,LFM2-2.6B,4,1.1712057135955294,1.0219024618153545,,,
AUDIT scale,LFM2-2.6B,5,0.3071479198237742,0.2812656618957468,,,
AUDIT scale,LFM2-2.6B,6,0.2215675598753471,0.1023289621853558,,,
AUDIT scale,LFM2-2.6B,7,0.0153365928631229,0.0,,,
AUDIT scale,LFM2-2.6B,8,0.468435759079832,0.2645085911647325,,,
AUDIT scale,LFM2-2.6B,9,0.3360927816215867,0.2278257120168029,,,
AUDIT scale,LFM2-2.6B,10,0.2179629209907078,0.1752601353833495,,,
AUDIT scale,LFM2-2.6B,11,0.2183725100958747,0.2702107461560709,,,
AUDIT scale,LFM2-8B-A1B,1,0.9224240933262522,0.9396504367231908,,,
AUDIT scale,LFM2-8B-A1B,2,2.272954902471393,2.145389789439125,,,
AUDIT scale,LFM2-8B-A1B,3,0.9963730195204316,1.3907268417745249,,,
AUDIT scale,LFM2-8B-A1B,4,1.3857327107153,1.6599115913363929,,,
AUDIT scale,LFM2-8B-A1B,5,0.4856061383817576,0.8653216593234488,,,
AUDIT scale,LFM2-8B-A1B,6,0.3351240528698544,0.4258590298774781,,,
AUDIT scale,LFM2-8B-A1B,7,0.0381167907980387,0.0584301004150181,,,
AUDIT scale,LFM2-8B-A1B,8,0.6366823608972993,0.8103649670159245,,,
AUDIT scale,LFM2-8B-A1B,9,0.4848854629549687,0.6612975066683527,,,
AUDIT scale,LFM2-8B-A1B,10,0.2402441966185817,0.179600611693968,,,
AUDIT scale,LFM2-8B-A1B,11,0.1896466262763371,0.0958930511761158,,,
AUDIT scale,Llama-3.1-70B-Instruct,1,0.920405150843963,0.8986530095133793,,,
AUDIT scale,Llama-3.1-70B-Instruct,2,2.3721349566914225,2.493227011713693,,,
AUDIT scale,Llama-3.1-70B-Instruct,3,0.6453685962813832,0.2324509643454847,,,
AUDIT scale,Llama-3.1-70B-Instruct,4,1.04725007499288,0.6411980470517623,,,
AUDIT scale,Llama-3.1-70B-Instruct,5,0.2145113825013442,0.0527266004557391,,,
AUDIT scale,Llama-3.1-70B-Instruct,6,0.1651427860780725,0.0184061129229246,,,
AUDIT scale,Llama-3.1-70B-Instruct,7,0.0095226418660378,0.0,,,
