experiment,model,item,score,score_top_n,category
AUDIT scale,Apertus-70B-Instruct-2509,1,0.9279455772620426,0.4315209074843363,
AUDIT scale,Apertus-70B-Instruct-2509,2,2.6749541675031185,3.000000000000001,
AUDIT scale,Apertus-70B-Instruct-2509,3,0.6561889743379654,0.0,
AUDIT scale,Apertus-70B-Instruct-2509,4,1.1634599028434651,0.9848936754894921,
AUDIT scale,Apertus-70B-Instruct-2509,5,0.13456690090464107,0.0,
AUDIT scale,Apertus-70B-Instruct-2509,6,0.19567551011998174,0.11700341316167649,
AUDIT scale,Apertus-70B-Instruct-2509,7,0.01903890340150976,0.0723588002479652,
AUDIT scale,Apertus-70B-Instruct-2509,8,0.400926266230389,0.4044477248691644,
AUDIT scale,Apertus-70B-Instruct-2509,9,0.34997450207676434,0.9748343076057867,
AUDIT scale,Apertus-70B-Instruct-2509,10,0.26786022306035917,0.7651870908467243,
AUDIT scale,Apertus-70B-Instruct-2509,11,0.31152724990896585,1.3210653533506456,
AUDIT scale,Apertus-8B-Instruct-2509,1,0.9272175352475688,1.0,
AUDIT scale,Apertus-8B-Instruct-2509,2,2.589949856492843,3.0,
AUDIT scale,Apertus-8B-Instruct-2509,3,0.7701664402368138,1.239987606927227,
AUDIT scale,Apertus-8B-Instruct-2509,4,1.0161868989128469,0.30463690400786253,
AUDIT scale,Apertus-8B-Instruct-2509,5,0.16190324556857388,0.04095128049628788,
AUDIT scale,Apertus-8B-Instruct-2509,6,0.16810350211329578,0.0,
AUDIT scale,Apertus-8B-Instruct-2509,7,0.011720468783734112,0.0,
AUDIT scale,Apertus-8B-Instruct-2509,8,0.28635989506559506,0.0,
AUDIT scale,Apertus-8B-Instruct-2509,9,0.2180720444357963,0.0,
AUDIT scale,Apertus-8B-Instruct-2509,10,0.1412125349813113,0.0,
AUDIT scale,Apertus-8B-Instruct-2509,11,0.18151346929021073,0.0,
AUDIT scale,Falcon-3-10B-Instruct,1,0.9033500185768877,0.3575385273746558,
AUDIT scale,Falcon-3-10B-Instruct,2,2.2500121259722765,1.4849847476229798,
AUDIT scale,Falcon-3-10B-Instruct,3,0.9343476662488166,1.1181748556074933,
AUDIT scale,Falcon-3-10B-Instruct,4,1.118323239363998,0.8849361422135914,
AUDIT scale,Falcon-3-10B-Instruct,5,0.4346860131854034,1.3010735263053828,
AUDIT scale,Falcon-3-10B-Instruct,6,0.3149114448405801,1.243069427035695,
AUDIT scale,Falcon-3-10B-Instruct,7,0.05692814629360727,0.23987740074438993,
AUDIT scale,Falcon-3-10B-Instruct,8,0.6671047609033561,1.422609002349769,
AUDIT scale,Falcon-3-10B-Instruct,9,0.7048439122013261,1.3712119291641045,
AUDIT scale,Falcon-3-10B-Instruct,10,0.11745174598060729,0.0,
AUDIT scale,Falcon-3-10B-Instruct,11,0.11639609328385034,0.0,
AUDIT scale,Falcon-3-1B-Instruct,1,0.9245958427552925,1.0,
AUDIT scale,Falcon-3-1B-Instruct,2,2.3254309407929297,3.0552187749229716,
AUDIT scale,Falcon-3-1B-Instruct,3,0.4458085745723898,0.0,
AUDIT scale,Falcon-3-1B-Instruct,4,0.9768595718803329,0.0,
AUDIT scale,Falcon-3-1B-Instruct,5,0.2271803667612051,0.04394116918556202,
AUDIT scale,Falcon-3-1B-Instruct,6,0.12246040440094991,0.0,
AUDIT scale,Falcon-3-1B-Instruct,7,0.007975209684483753,0.0,
AUDIT scale,Falcon-3-1B-Instruct,8,0.30034740834525964,0.05511554572499899,
AUDIT scale,Falcon-3-1B-Instruct,9,0.19140385303144355,0.0,
AUDIT scale,Falcon-3-1B-Instruct,10,0.17635753144003652,0.0,
AUDIT scale,Falcon-3-1B-Instruct,11,0.16843378764027309,0.0,
AUDIT scale,Falcon-3-7B-Instruct,1,0.931999588628644,1.0,
AUDIT scale,Falcon-3-7B-Instruct,2,2.288548313266276,2.0,
AUDIT scale,Falcon-3-7B-Instruct,3,0.6860375631595176,0.18517100724691388,
AUDIT scale,Falcon-3-7B-Instruct,4,1.0948697817863213,0.110835241320055,
AUDIT scale,Falcon-3-7B-Instruct,5,0.20958065526644934,0.0,
AUDIT scale,Falcon-3-7B-Instruct,6,0.13529700806453623,0.0,
AUDIT scale,Falcon-3-7B-Instruct,7,0.009014479590887844,0.0,
AUDIT scale,Falcon-3-7B-Instruct,8,0.28988140801083306,0.0,
AUDIT scale,Falcon-3-7B-Instruct,9,0.2085297505225353,0.0,
AUDIT scale,Falcon-3-7B-Instruct,10,0.2195757311261288,0.0,
AUDIT scale,Falcon-3-7B-Instruct,11,0.18391129771287265,0.0,
AUDIT scale,LFM2-1.2B,1,0.9376750006339377,1.0,
AUDIT scale,LFM2-1.2B,2,2.449435303253895,3.4518486190743025,
AUDIT scale,LFM2-1.2B,3,0.7390407033843037,0.8950549791561797,
AUDIT scale,LFM2-1.2B,4,1.1671219543406441,0.5610348703888915,
AUDIT scale,LFM2-1.2B,5,0.24355801904302318,0.0,
AUDIT scale,LFM2-1.2B,6,0.20986419674661932,0.0,
AUDIT scale,LFM2-1.2B,7,0.014081458467520024,0.0,
AUDIT scale,LFM2-1.2B,8,0.36357622732503664,0.0359408859209045,
AUDIT scale,LFM2-1.2B,9,0.30762822904183706,0.5006414325700278,
AUDIT scale,LFM2-1.2B,10,0.17659708286803305,0.0,
AUDIT scale,LFM2-1.2B,11,0.17263486333312092,0.0,
AUDIT scale,LFM2-2.6B,1,0.9453911277610034,1.0,
AUDIT scale,LFM2-2.6B,2,2.380239511825662,3.3684873686646686,
AUDIT scale,LFM2-2.6B,3,0.8884204782292348,1.664547217539366,
AUDIT scale,LFM2-2.6B,4,0.9060990898926928,0.03909103150822943,
AUDIT scale,LFM2-2.6B,5,0.14146863122744072,0.03092135271777951,
AUDIT scale,LFM2-2.6B,6,0.09198168143730898,0.0,
AUDIT scale,LFM2-2.6B,7,0.007293130878377633,0.0,
AUDIT scale,LFM2-2.6B,8,0.1684483209698599,0.0,
AUDIT scale,LFM2-2.6B,9,0.15643357493026858,0.0,
AUDIT scale,LFM2-2.6B,10,0.24668644776019777,0.0,
AUDIT scale,LFM2-2.6B,11,0.1306436397084775,0.0,
AUDIT scale,LFM2-8B-A1B,1,0.9344822611539495,1.0,
AUDIT scale,LFM2-8B-A1B,2,2.4081479192987536,1.9204338356363468,
AUDIT scale,LFM2-8B-A1B,3,0.7773858484129088,0.40496983545625365,
AUDIT scale,LFM2-8B-A1B,4,1.0989900558467547,0.5981138489688723,
AUDIT scale,LFM2-8B-A1B,5,0.23903230259995564,0.04024241205524911,
AUDIT scale,LFM2-8B-A1B,6,0.16566791730343566,0.019277586758067608,
AUDIT scale,LFM2-8B-A1B,7,0.012741856082449148,0.0,
AUDIT scale,LFM2-8B-A1B,8,0.25043171702727024,0.0,
AUDIT scale,LFM2-8B-A1B,9,0.21426171468675206,0.0,
AUDIT scale,LFM2-8B-A1B,10,0.1704076402232429,0.0,
AUDIT scale,LFM2-8B-A1B,11,0.1321117256959128,0.0,
AUDIT scale,Llama-3.1-70B-Instruct,1,0.9193430987717598,1.0,
AUDIT scale,Llama-3.1-70B-Instruct,2,2.653268908533961,3.0000000000000004,
AUDIT scale,Llama-3.1-70B-Instruct,3,0.5855268218387982,0.24314679918809853,
AUDIT scale,Llama-3.1-70B-Instruct,4,1.1010542623841892,1.3189198659347952,
AUDIT scale,Llama-3.1-70B-Instruct,5,0.22609995045665668,0.09790331919913503,
AUDIT scale,Llama-3.1-70B-Instruct,6,0.2025162755942109,0.019528532036566147,
AUDIT scale,Llama-3.1-70B-Instruct,7,0.018176314736759222,0.0,
AUDIT scale,Llama-3.1-70B-Instruct,8,0.4236913299484716,0.579227588880171,
AUDIT scale,Llama-3.1-70B-Instruct,9,0.3244738744606753,0.28045328405092795,
AUDIT scale,Llama-3.1-70B-Instruct,10,0.26774502220780205,0.12828286399349847,
AUDIT scale,Llama-3.1-70B-Instruct,11,0.1885649915655289,0.0,
AUDIT scale,Llama-3.1-8B-Instruct,1,0.9236601713224928,1.0,
AUDIT scale,Llama-3.1-8B-Instruct,2,2.660958331633575,3.496325909716009,
AUDIT scale,Llama-3.1-8B-Instruct,3,0.5015787353029815,0.2831519271178205,
AUDIT scale,Llama-3.1-8B-Instruct,4,0.9551207681058054,1.4527853013834426,
AUDIT scale,Llama-3.1-8B-Instruct,5,0.14667149685555414,0.05847875751227901,
AUDIT scale,Llama-3.1-8B-Instruct,6,0.11601539074361146,0.0,
AUDIT scale,Llama-3.1-8B-Instruct,7,0.005958306463258784,0.0,
AUDIT scale,Llama-3.1-8B-Instruct,8,0.21001448337752918,0.03942416356521953,
AUDIT scale,Llama-3.1-8B-Instruct,9,0.1429739596803897,0.0,
AUDIT scale,Llama-3.1-8B-Instruct,10,0.2880642508482645,0.41151096557148864,
