experiment,model,item,score,score_top_n,category,H_score,score_expected
AUDIT scale,Apertus-70B-Instruct-2509,1,0.931331112176677,0.9299999924937808,,,
AUDIT scale,Apertus-70B-Instruct-2509,2,2.3585585786683643,2.319577843781594,,,
AUDIT scale,Apertus-70B-Instruct-2509,3,0.7505960895069912,0.7190920750064496,,,
AUDIT scale,Apertus-70B-Instruct-2509,4,1.2292206994673631,1.2796273430177896,,,
AUDIT scale,Apertus-70B-Instruct-2509,5,0.373358514234507,0.3616197185028093,,,
AUDIT scale,Apertus-70B-Instruct-2509,6,0.2672877445508971,0.3101019433196185,,,
AUDIT scale,Apertus-70B-Instruct-2509,7,0.0168340648907446,0.0196206715500909,,,
AUDIT scale,Apertus-70B-Instruct-2509,8,0.5242049864329235,0.5507883238755776,,,
AUDIT scale,Apertus-70B-Instruct-2509,9,0.4168272676790075,0.4807662851593482,,,
AUDIT scale,Apertus-70B-Instruct-2509,10,0.249208663034453,0.1999957305306707,,,
AUDIT scale,Apertus-70B-Instruct-2509,11,0.1579921421297853,0.1800039036110963,,,
AUDIT scale,Apertus-8B-Instruct-2509,1,0.9237588687408022,0.969999974365848,,,
AUDIT scale,Apertus-8B-Instruct-2509,2,2.3811996567545273,2.3919101387144717,,,
AUDIT scale,Apertus-8B-Instruct-2509,3,0.8790724482606862,0.8297469126414004,,,
AUDIT scale,Apertus-8B-Instruct-2509,4,1.096458802900292,0.9890847240379628,,,
AUDIT scale,Apertus-8B-Instruct-2509,5,0.3395374689306952,0.3995265985170732,,,
AUDIT scale,Apertus-8B-Instruct-2509,6,0.2320365937986059,0.1601000225631005,,,
AUDIT scale,Apertus-8B-Instruct-2509,7,0.0265987731760007,0.0194170360034162,,,
AUDIT scale,Apertus-8B-Instruct-2509,8,0.4934061728913271,0.5079196391367389,,,
AUDIT scale,Apertus-8B-Instruct-2509,9,0.3938418012957015,0.4206501665834752,,,
AUDIT scale,Apertus-8B-Instruct-2509,10,0.2593746252736661,0.1200029483173608,,,
AUDIT scale,Apertus-8B-Instruct-2509,11,0.2031479251344454,0.239997625149606,,,
AUDIT scale,Falcon-3-10B-Instruct,1,0.920832029647513,0.9800000316048036,,,
AUDIT scale,Falcon-3-10B-Instruct,2,2.389144982388697,2.33044728715289,,,
AUDIT scale,Falcon-3-10B-Instruct,3,0.8030911612370233,0.7807114368369393,,,
AUDIT scale,Falcon-3-10B-Instruct,4,1.2238618382910669,1.2795217116059223,,,
AUDIT scale,Falcon-3-10B-Instruct,5,0.3302829177153497,0.2696558699171902,,,
AUDIT scale,Falcon-3-10B-Instruct,6,0.2624382480502278,0.2096429308488737,,,
AUDIT scale,Falcon-3-10B-Instruct,7,0.031573670351571,0.0201095190021116,,,
AUDIT scale,Falcon-3-10B-Instruct,8,0.4877545106636622,0.5287873860068222,,,
AUDIT scale,Falcon-3-10B-Instruct,9,0.3988192214252535,0.4398658085821352,,,
AUDIT scale,Falcon-3-10B-Instruct,10,0.3066584165548611,0.2600035090661657,,,
AUDIT scale,Falcon-3-10B-Instruct,11,0.2413274964753252,0.1799869222638737,,,
AUDIT scale,Falcon-3-1B-Instruct,1,0.9188745609148402,0.9200000386195344,,,
AUDIT scale,Falcon-3-1B-Instruct,2,2.4234573530706554,2.428593969264754,,,
AUDIT scale,Falcon-3-1B-Instruct,3,0.8724696668159729,0.9799712316352128,,,
AUDIT scale,Falcon-3-1B-Instruct,4,1.2011424951491154,1.189357300563004,,,
AUDIT scale,Falcon-3-1B-Instruct,5,0.335206360396883,0.3602063551867954,,,
AUDIT scale,Falcon-3-1B-Instruct,6,0.2529895237859649,0.2385959198248449,,,
AUDIT scale,Falcon-3-1B-Instruct,7,0.027038004439526,0.0302153393863735,,,
AUDIT scale,Falcon-3-1B-Instruct,8,0.5081762250067898,0.5504043762435614,,,
AUDIT scale,Falcon-3-1B-Instruct,9,0.3787614015214026,0.2897990834761397,,,
AUDIT scale,Falcon-3-1B-Instruct,10,0.2675261758107937,0.3799944748783738,,,
AUDIT scale,Falcon-3-1B-Instruct,11,0.1713523196330056,0.080002634492301,,,
AUDIT scale,Falcon-3-7B-Instruct,1,0.9229954301018948,0.9199999225248272,,,
AUDIT scale,Falcon-3-7B-Instruct,2,2.369196406273681,2.3700243274836508,,,
AUDIT scale,Falcon-3-7B-Instruct,3,0.7844109052683663,0.79160197927393,,,
AUDIT scale,Falcon-3-7B-Instruct,4,1.149154686713953,1.151256379750044,,,
AUDIT scale,Falcon-3-7B-Instruct,5,0.3266402583365161,0.2606080279407975,,,
AUDIT scale,Falcon-3-7B-Instruct,6,0.2807190526880344,0.3205276144334387,,,
AUDIT scale,Falcon-3-7B-Instruct,7,0.0258462177844127,0.0,,,
AUDIT scale,Falcon-3-7B-Instruct,8,0.5378433746808049,0.5305655048904484,,,
AUDIT scale,Falcon-3-7B-Instruct,9,0.3455694192991921,0.3307613577112753,,,
AUDIT scale,Falcon-3-7B-Instruct,10,0.28831637047624,0.3599903159733994,,,
AUDIT scale,Falcon-3-7B-Instruct,11,0.1863821565774751,0.259979373714132,,,
AUDIT scale,LFM2-1.2B,1,0.9334347172604858,0.9399999754748256,,,
AUDIT scale,LFM2-1.2B,2,2.3407683519593756,2.310008192452511,,,
AUDIT scale,LFM2-1.2B,3,0.807672245437227,0.6300718862406213,,,
AUDIT scale,LFM2-1.2B,4,1.2573507092441412,1.289282434575463,,,
AUDIT scale,LFM2-1.2B,5,0.3006654236714804,0.3093769524762177,,,
AUDIT scale,LFM2-1.2B,6,0.2726636619647998,0.2913857190939641,,,
AUDIT scale,LFM2-1.2B,7,0.0255553391960857,0.010099523668049,,,
AUDIT scale,LFM2-1.2B,8,0.5269117477754602,0.4996949263442859,,,
AUDIT scale,LFM2-1.2B,9,0.4026343974256781,0.4305635453979611,,,
AUDIT scale,LFM2-1.2B,10,0.2460285773656281,0.2199859271267085,,,
AUDIT scale,LFM2-1.2B,11,0.2074095396172514,0.2599971561009235,,,
AUDIT scale,LFM2-2.6B,1,0.9256968472308046,0.8900001475371564,,,
AUDIT scale,LFM2-2.6B,2,2.3435770627045747,2.3494948600219585,,,
AUDIT scale,LFM2-2.6B,3,0.8193350386281036,0.7713271239347418,,,
AUDIT scale,LFM2-2.6B,4,1.1761277780073198,1.2002663016754125,,,
AUDIT scale,LFM2-2.6B,5,0.332325448124745,0.3704275341402939,,,
AUDIT scale,LFM2-2.6B,6,0.2758571086761645,0.2394940284869824,,,
AUDIT scale,LFM2-2.6B,7,0.0425401221532919,0.0303199876713431,,,
AUDIT scale,LFM2-2.6B,8,0.4871086152181251,0.4702914597377356,,,
AUDIT scale,LFM2-2.6B,9,0.4137576230192517,0.4699601836744819,,,
AUDIT scale,LFM2-2.6B,10,0.2587348155305931,0.3000145197694561,,,
AUDIT scale,LFM2-2.6B,11,0.2354715438716188,0.2200134149661388,,,
AUDIT scale,LFM2-8B-A1B,1,0.915084791786016,0.9000000363272265,,,
AUDIT scale,LFM2-8B-A1B,2,2.39158917949194,2.379570864424833,,,
AUDIT scale,LFM2-8B-A1B,3,0.7641465084772556,0.7609893175383552,,,
AUDIT scale,LFM2-8B-A1B,4,1.290368379146728,1.3487923078168007,,,
AUDIT scale,LFM2-8B-A1B,5,0.3351747055682454,0.319856384858464,,,
AUDIT scale,LFM2-8B-A1B,6,0.2331757796335464,0.1805614210261438,,,
AUDIT scale,LFM2-8B-A1B,7,0.0430521592498416,0.050222001638594,,,
AUDIT scale,LFM2-8B-A1B,8,0.5027029584689398,0.5010261266977589,,,
AUDIT scale,LFM2-8B-A1B,9,0.3835468936943629,0.3401243832175478,,,
AUDIT scale,LFM2-8B-A1B,10,0.2423987084399789,0.2400047760356418,,,
AUDIT scale,LFM2-8B-A1B,11,0.1693243375189115,0.299997914284027,,,
AUDIT scale,Llama-3.1-70B-Instruct,1,0.934654597513838,0.969999966831331,,,
AUDIT scale,Llama-3.1-70B-Instruct,2,2.3464323465889905,2.319690971784197,,,
AUDIT scale,Llama-3.1-70B-Instruct,3,0.7761694238509196,0.7799878972345,,,
AUDIT scale,Llama-3.1-70B-Instruct,4,1.25371216603049,1.3004520793719954,,,
AUDIT scale,Llama-3.1-70B-Instruct,5,0.3709789525060356,0.3902117546278943,,,
AUDIT scale,Llama-3.1-70B-Instruct,6,0.2245102230318964,0.2004586547582997,,,
AUDIT scale,Llama-3.1-70B-Instruct,7,0.012473465982847,0.0099633777630405,,,
AUDIT scale,Llama-3.1-70B-Instruct,8,0.5124780528853653,0.4506421927751478,,,
AUDIT scale,Llama-3.1-70B-Instruct,9,0.3680611959292635,0.3700852383117165,,,
AUDIT scale,Llama-3.1-70B-Instruct,10,0.2341729385867788,0.2599957111099027,,,
