experiment,model,item,score,score_top_n,category,H_score,score_expected
AUDIT scale,Apertus-70B-Instruct-2509,1,1.089831389631866,1.0,,,
AUDIT scale,Apertus-70B-Instruct-2509,2,3.493585593732692,3.859536751111475,,,
AUDIT scale,Apertus-70B-Instruct-2509,3,2.9946713089165726,3.2826089001684595,,,
AUDIT scale,Apertus-70B-Instruct-2509,4,3.165512220095187,3.3436888258053608,,,
AUDIT scale,Apertus-70B-Instruct-2509,5,2.330173526032793,2.305428751460043,,,
AUDIT scale,Apertus-70B-Instruct-2509,6,2.347692548440555,2.5306230971547983,,,
AUDIT scale,Apertus-70B-Instruct-2509,7,1.690421190792066,1.1300809354953587,,,
AUDIT scale,Apertus-70B-Instruct-2509,8,2.7514932897326654,2.9085708213739743,,,
AUDIT scale,Apertus-70B-Instruct-2509,9,2.5450550437025385,2.7999572160653994,,,
AUDIT scale,Apertus-70B-Instruct-2509,10,1.718774657109882,1.1584575538958228,,,
AUDIT scale,Apertus-70B-Instruct-2509,11,1.7500653251344054,1.158878503459525,,,
AUDIT scale,Apertus-8B-Instruct-2509,1,1.1479061725439268,1.0,,,
AUDIT scale,Apertus-8B-Instruct-2509,2,3.041365033754097,3.032041431294976,,,
AUDIT scale,Apertus-8B-Instruct-2509,3,2.6858307111107145,1.9243167963969128,,,
AUDIT scale,Apertus-8B-Instruct-2509,4,2.824739976908734,2.1019326834637564,,,
AUDIT scale,Apertus-8B-Instruct-2509,5,2.7321219577793117,1.88570219995555,,,
AUDIT scale,Apertus-8B-Instruct-2509,6,2.687667630995469,1.816134667488152,,,
AUDIT scale,Apertus-8B-Instruct-2509,7,2.688169459890296,1.9840509244064637,,,
AUDIT scale,Apertus-8B-Instruct-2509,8,2.773754712546357,2.0174029790862886,,,
AUDIT scale,Apertus-8B-Instruct-2509,9,2.7343157172010626,2.2381246063709814,,,
AUDIT scale,Apertus-8B-Instruct-2509,10,1.6415938294062296,1.0603724968666142,,,
AUDIT scale,Apertus-8B-Instruct-2509,11,1.6338494035873512,1.119379915858817,,,
AUDIT scale,Falcon-3-10B-Instruct,1,1.5515087774775544,1.621207862550148,,,
AUDIT scale,Falcon-3-10B-Instruct,2,2.8660562610634277,2.653724476718032,,,
AUDIT scale,Falcon-3-10B-Instruct,3,2.76494681279398,2.317254090634056,,,
AUDIT scale,Falcon-3-10B-Instruct,4,2.7767343328754843,2.4560453328802065,,,
AUDIT scale,Falcon-3-10B-Instruct,5,2.7396051779662223,2.380707886107968,,,
AUDIT scale,Falcon-3-10B-Instruct,6,2.8171019685128065,2.4156197767843093,,,
AUDIT scale,Falcon-3-10B-Instruct,7,2.671050055437104,2.1894272073702483,,,
AUDIT scale,Falcon-3-10B-Instruct,8,2.82048962594295,2.5517069396446495,,,
AUDIT scale,Falcon-3-10B-Instruct,9,2.787392616623225,2.0357994853080816,,,
AUDIT scale,Falcon-3-10B-Instruct,10,1.9151981686266903,1.7129169833808209,,,
AUDIT scale,Falcon-3-10B-Instruct,11,1.8825214938926127,1.725769291872388,,,
AUDIT scale,Falcon-3-1B-Instruct,1,1.5551485748321126,1.6312077489275252,,,
AUDIT scale,Falcon-3-1B-Instruct,2,3.024729062145601,3.1537320754588514,,,
AUDIT scale,Falcon-3-1B-Instruct,3,3.4598686567302184,4.24590873042273,,,
AUDIT scale,Falcon-3-1B-Instruct,4,3.30970477694269,3.896121049913877,,,
AUDIT scale,Falcon-3-1B-Instruct,5,3.881109166866223,4.593535463212022,,,
AUDIT scale,Falcon-3-1B-Instruct,6,3.9143405315063977,4.879723385298436,,,
AUDIT scale,Falcon-3-1B-Instruct,7,4.064108039941356,4.916121804942761,,,
AUDIT scale,Falcon-3-1B-Instruct,8,3.794304519507512,4.5275649911379805,,,
AUDIT scale,Falcon-3-1B-Instruct,9,3.82788731899363,4.777668352926951,,,
AUDIT scale,Falcon-3-1B-Instruct,10,2.384082811090671,2.888688654049204,,,
AUDIT scale,Falcon-3-1B-Instruct,11,2.4175092296710545,2.9065705291882136,,,
AUDIT scale,Falcon-3-7B-Instruct,1,1.4800785284871416,1.3888861475602488,,,
AUDIT scale,Falcon-3-7B-Instruct,2,2.6422663305157355,2.4973993988288075,,,
AUDIT scale,Falcon-3-7B-Instruct,3,2.154304806417572,1.7277737489866836,,,
AUDIT scale,Falcon-3-7B-Instruct,4,2.346634039221622,2.0474139538517058,,,
AUDIT scale,Falcon-3-7B-Instruct,5,1.79895678848867,1.2361892233608844,,,
AUDIT scale,Falcon-3-7B-Instruct,6,1.7768381588846405,1.1927009139867777,,,
AUDIT scale,Falcon-3-7B-Instruct,7,1.5593135461789212,1.033572535436278,,,
AUDIT scale,Falcon-3-7B-Instruct,8,1.9717479804020983,1.531158629494672,,,
AUDIT scale,Falcon-3-7B-Instruct,9,1.8434740619205143,1.3942848847265488,,,
AUDIT scale,Falcon-3-7B-Instruct,10,1.965128017677411,1.8159691374021891,,,
AUDIT scale,Falcon-3-7B-Instruct,11,1.960341084134817,1.8208878892187768,,,
AUDIT scale,LFM2-1.2B,1,1.6299563683406155,1.8612171902608472,,,
AUDIT scale,LFM2-1.2B,2,2.610844584754921,2.105179863207795,,,
