model,AUDIT,BISa,BISm,BISn,CAREa,CAREs,CAREw,DAST,DM,Deth,Dgam,Dhea,Dinv,Drec,Dsoc,FTND,GABS,PG,PRI_certainty,PRI_decision,SOEP,SOEPdri,SOEPfin,SOEPhea,SOEPocc,SOEPrec,SOEPsoc,SSbor,SSdis,SSexp,SStas,BART,CCT,DFD,DFE,LOT,MPL
Apertus-70B-Instruct-2509,3.1717005769475763,16.353115447202082,23.874914146118403,22.43892531031908,1,1,1,32.21721515991913,36.46254251049767,2.4820120282434077,2.5802075196125327,3.0481480935270917,2.652970232508377,2.760353419375591,2.5897900619086025,11.815134532849491,32.264495240572685,59.66459551301463,24.922812756979752,12.20733615147649,6.782421642472457,3.420850112400045,4.108840843088515,5.845305234377545,5.483350839716049,4.634035912755327,7.396293251577163,15.549118477465871,15.562004972172117,15.463902230681756,15.084538722526272,37.24137178773109,,0.48102967740884667,0.40464832698156494,0.4673644751781431,4
Apertus-8B-Instruct-2509,3.1741804575529273,16.605504779396018,25.06834077654377,23.188562486453364,1,0,1,25.999570848179275,38.87713276405432,2.772796617958069,2.8863581565601297,3.0513269518247,2.772288493438729,2.8630764486415634,3.1640680111821315,9.479101182549556,28.788651559820977,48.26169316769363,31.04549184203084,11.7314560651842,6.409702519023592,3.399488577703583,3.6914244831693535,5.067804598357394,5.245757667751303,4.983234990267749,5.76245578692548,13.850574175406875,13.739802106163058,13.664468472213809,13.35356295898417,36.24210438641683,372.84596201468935,0.4789260028868054,0.4079790198339916,0.470031955826157,4
Falcon-3-10B-Instruct,3.3289550608893768,23.1786958076307,33.03918621403179,31.37145306581146,1,1,2,29.822750198267094,60.78509407153693,3.360168914281229,3.3889620051436107,3.516987523029022,3.0958766611418227,3.559721965289399,3.5207921521890526,13.379076420297434,47.707861349120684,54.48088926518483,30.501647282632145,12.15530208662956,5.6641988118128035,3.350373079956167,3.922639889902987,5.131856482092842,5.5528929588743114,5.490595609722535,6.0705209027315385,15.41546465517867,16.630399216636686,15.321926510355581,16.143006061826096,35.034919246982845,417.6298637944871,0.46012736185369246,0.3983765456780729,0.47327536357514477,4
Falcon-3-1B-Instruct,3.211767616816417,18.795082101815453,25.90799463812446,26.45880539423684,1,1,1,24.82943383043152,47.532647363704115,3.2909504603118775,3.233949798916022,3.079032564156466,3.5322379081863433,3.35268844244074,3.5583899842161406,11.043419492043697,33.77427328699217,71.02153120424857,26.96452256150949,9.359267163209369,6.088223984183124,3.5175330629178156,3.4520959156706748,4.447403942558123,4.999759486788573,5.0016972914701325,5.820398670550752,11.692047360249301,12.34319644017431,12.11052867528815,12.003366788133043,37.32339140947464,469.9300921176841,0.4919928922760363,0.40587468505952096,0.4577711629768487,3
Falcon-3-7B-Instruct,3.3353338140765345,17.652260430464125,25.641740033443106,24.99579445027007,2,1,1,27.40317428525187,44.85618025760835,3.8249095631667065,3.772473385986842,3.689188882554042,3.7131142175329224,3.7881321724568786,3.5676725867114363,11.246161866168762,34.506589361267864,63.82987302407133,31.07385571727326,10.726784404729646,6.129549161586002,3.0227764849742225,3.015927499092505,4.576473547425847,5.045811580766346,4.833696058911635,5.697594270099594,13.737780702662327,13.688576797455406,13.642295965790566,14.013757609038146,32.64947842391527,376.09369175829727,0.45601686490609594,0.4125551824083055,0.48581945386294967,4
LFM2-1.2B,3.433667838975153,18.37193337956216,24.80287443293603,25.123626091919252,1,1,1,25.298381732228172,40.1859672421447,2.468416238432441,2.3111502328881217,2.6163546826172768,2.3175514611583687,2.600075891183179,2.7283761230314583,11.798513107288226,37.9082695194962,50.64529584116837,26.043286762738592,12.565450107302938,5.32778126757268,4.256500115583387,4.678820873378845,5.532705389231491,5.62351152782081,5.574841540075986,5.65293827001682,14.683701335933037,14.392749965800615,14.741024046645034,14.495262672198328,37.79081235871847,454.92518002857656,0.49530365118994624,0.42780843764266874,0.4368340872333001,4
LFM2-2.6B,3.25709812710549,17.559432176006734,24.541445489481394,24.070311948475013,1,0,1,26.244808758508906,35.82711341500089,2.385292534325665,2.617744012415929,2.287512552620747,2.5987014817535248,2.5139423376093104,2.269188056422248,10.115969901162357,26.45978988571818,57.292768135553295,23.47597608941203,10.466397625778619,5.384582260514302,3.9229551153115776,4.105306330416252,5.100243379805185,5.236038097474006,4.855954010736403,5.974721557007225,12.561039306124458,12.509526637309078,12.221792286750347,12.230818845453086,37.83032772591528,465.91809058724493,0.48970922133649647,0.4055670476189091,0.4333904707421937,3
LFM2-8B-A1B,3.156976481476762,17.57136771694898,24.961951772953785,24.047710488908148,1,1,2,24.7699847210952,45.62894239073641,2.4310581676165053,2.16679463738476,2.209468798375576,2.2990586802283315,2.2683535326178488,2.361831330140994,10.12994791281674,34.30787986856945,50.231002197586605,21.8214227773438,11.452698026807909,5.798935797435218,3.852263957096572,3.680756343697946,4.370534989919295,4.637977513470324,4.491131547564711,4.68458441524195,12.956949177285367,12.861447027859775,13.254610906608669,13.249553182072479,37.606419522654846,468.8795554319307,0.4951023553691698,0.4012945774882115,0.48667243383584025,4
Llama-3.1-70B-Instruct,3.6848601886040395,25.97298609698525,35.099251453427435,34.8603572413013,2,2,3,31.326590267355304,62.777343732441594,4.078534552557007,4.490733690518008,4.123080950016092,4.208360009511012,4.157427124836177,3.937840695252785,14.165546136049308,52.21859073975233,93.98774936038123,45.37428392593056,11.698245632387732,6.936331221589396,8.527376846345076,7.9475532264342545,7.686441005933655,6.964778976297387,6.970728258530064,7.481755002250482,14.760118495517588,14.752491432157619,14.753668104434343,14.955389703308732,31.465532736143157,453.4625919207322,0.45963948827542994,0.40285287539789527,0.46536055063401116,4
Llama-3.1-8B-Instruct,3.331120457420249,18.250941323911473,25.673920581186774,25.357579482907948,1,2,3,23.827358716645357,46.13116315181569,3.498723752254233,3.5092976139711527,3.671793550092912,3.7175733215703213,3.6627351696019153,3.2472528219671104,10.319519703731647,34.358480564180056,53.06029876104831,34.4927036967313,10.166421281367727,6.2836736471493255,6.532758841323524,6.938505465135192,6.301973000703601,5.953572436644306,5.979209796446265,6.431514188170902,12.021557146729377,12.212554472908199,11.903482907273691,12.00515347810977,34.11682101438565,424.0476665271165,0.47005061541446413,0.40538542431283064,0.4635474987782812,4
