experiment,model,item,score,score_top_n,category,H_score,score_expected
AUDIT scale,Apertus-70B-Instruct-2509,1,1.667792623169989,2.0,,,
AUDIT scale,Apertus-70B-Instruct-2509,2,2.5346216782491235,2.0,,,
AUDIT scale,Apertus-70B-Instruct-2509,3,2.0565869737830655,1.0,,,
AUDIT scale,Apertus-70B-Instruct-2509,4,2.477461490500873,1.8249854879126937,,,
AUDIT scale,Apertus-70B-Instruct-2509,5,3.4128185153198674,5.000000000000002,,,
AUDIT scale,Apertus-70B-Instruct-2509,6,1.8721867722245396,1.0866618233388992,,,
AUDIT scale,Apertus-70B-Instruct-2509,7,1.8063847560490784,1.0723588002479651,,,
AUDIT scale,Apertus-70B-Instruct-2509,8,1.9671363839586653,1.2813203770299684,,,
AUDIT scale,Apertus-70B-Instruct-2509,9,1.98875472546399,1.9539875855060589,,,
AUDIT scale,Apertus-70B-Instruct-2509,10,1.2975894263192491,1.0,,,
AUDIT scale,Apertus-70B-Instruct-2509,11,1.7666719151585657,1.0177187842394846,,,
AUDIT scale,Apertus-8B-Instruct-2509,1,1.4968484920680156,1.0,,,
AUDIT scale,Apertus-8B-Instruct-2509,2,2.289539904718339,2.0,,,
AUDIT scale,Apertus-8B-Instruct-2509,3,2.493991766152374,1.956324397168295,,,
AUDIT scale,Apertus-8B-Instruct-2509,4,2.842802642651093,1.2553723540882424,,,
AUDIT scale,Apertus-8B-Instruct-2509,5,2.670227885742256,1.0,,,
AUDIT scale,Apertus-8B-Instruct-2509,6,2.096883103478592,1.0,,,
AUDIT scale,Apertus-8B-Instruct-2509,7,1.8993503238860192,1.0,,,
AUDIT scale,Apertus-8B-Instruct-2509,8,2.231624367049183,1.0,,,
AUDIT scale,Apertus-8B-Instruct-2509,9,1.9925969902276688,1.0,,,
AUDIT scale,Apertus-8B-Instruct-2509,10,1.6726672060530785,1.0,,,
AUDIT scale,Apertus-8B-Instruct-2509,11,1.2206861748704578,1.0,,,
AUDIT scale,Falcon-3-10B-Instruct,1,1.2079976632046574,1.0,,,
AUDIT scale,Falcon-3-10B-Instruct,2,2.575983604263345,1.8383384174590085,,,
AUDIT scale,Falcon-3-10B-Instruct,3,2.5760868998563065,2.0121418840229097,,,
AUDIT scale,Falcon-3-10B-Instruct,4,2.6892230269567508,1.8849361422135915,,,
AUDIT scale,Falcon-3-10B-Instruct,5,3.166295052675233,3.65430880422705,,,
AUDIT scale,Falcon-3-10B-Instruct,6,2.869961308809633,3.091120776281139,,,
AUDIT scale,Falcon-3-10B-Instruct,7,2.142598533715715,1.4184668832433731,,,
