experiment,model,item,score,score_top_n,category,H_score,score_expected
AUDIT scale,Apertus-70B-Instruct-2509,1,0.913419407710154,0.9101580056475704,,,
AUDIT scale,Apertus-70B-Instruct-2509,2,2.414643749870686,2.4869698095266224,,,
AUDIT scale,Apertus-70B-Instruct-2509,3,0.791632788143938,0.865051584983766,,,
AUDIT scale,Apertus-70B-Instruct-2509,4,1.1818980165490065,1.2708547485026152,,,
AUDIT scale,Apertus-70B-Instruct-2509,5,0.3989069651621439,0.5932269953124154,,,
AUDIT scale,Apertus-70B-Instruct-2509,6,0.3521884591900913,0.549511761531528,,,
AUDIT scale,Apertus-70B-Instruct-2509,7,0.0298036941867582,0.0433603118317862,,,
AUDIT scale,Apertus-70B-Instruct-2509,8,0.5767378978740303,0.70561902495331,,,
AUDIT scale,Apertus-70B-Instruct-2509,9,0.451916772208249,0.6126807342086756,,,
AUDIT scale,Apertus-70B-Instruct-2509,10,0.149821372606996,0.1152480177907246,,,
AUDIT scale,Apertus-70B-Instruct-2509,11,0.1483042744181381,0.1232799348317433,,,
AUDIT scale,Apertus-8B-Instruct-2509,1,0.9180686589788292,0.910004302443968,,,
AUDIT scale,Apertus-8B-Instruct-2509,2,2.4644202726963247,2.74587530197386,,,
AUDIT scale,Apertus-8B-Instruct-2509,3,0.4470674625279178,0.1153775804153547,,,
AUDIT scale,Apertus-8B-Instruct-2509,4,0.7991667603442146,0.1775054169673552,,,
AUDIT scale,Apertus-8B-Instruct-2509,5,0.1185210641913641,0.0,,,
AUDIT scale,Apertus-8B-Instruct-2509,6,0.0833614099339023,0.0215524529949035,,,
AUDIT scale,Apertus-8B-Instruct-2509,7,0.0049930532177985,0.0,,,
AUDIT scale,Apertus-8B-Instruct-2509,8,0.2132729354200877,0.0087783620866601,,,
AUDIT scale,Apertus-8B-Instruct-2509,9,0.1376288847205206,0.0,,,
AUDIT scale,Apertus-8B-Instruct-2509,10,0.1583227003766134,0.077672897701096,,,
AUDIT scale,Apertus-8B-Instruct-2509,11,0.160968220502567,0.158524701599709,,,
AUDIT scale,Falcon-3-10B-Instruct,1,0.9244889042361912,0.90965089462506,,,
AUDIT scale,Falcon-3-10B-Instruct,2,2.415997607111204,2.5293352633262525,,,
AUDIT scale,Falcon-3-10B-Instruct,3,0.7866642537272376,0.7473530444281528,,,
AUDIT scale,Falcon-3-10B-Instruct,4,1.258273155039377,1.3829891165108903,,,
AUDIT scale,Falcon-3-10B-Instruct,5,0.3723755076504074,0.4308601632910176,,,
AUDIT scale,Falcon-3-10B-Instruct,6,0.2749273918077984,0.3040513064641684,,,
AUDIT scale,Falcon-3-10B-Instruct,7,0.0253042371168436,0.0278374844067769,,,
AUDIT scale,Falcon-3-10B-Instruct,8,0.5633886802062866,0.6213157866256614,,,
AUDIT scale,Falcon-3-10B-Instruct,9,0.4112566499251302,0.4541628867236302,,,
AUDIT scale,Falcon-3-10B-Instruct,10,0.3118331148397135,0.3101616000171261,,,
AUDIT scale,Falcon-3-10B-Instruct,11,0.2452597118944803,0.229963000551395,,,
AUDIT scale,Falcon-3-1B-Instruct,1,0.9242932702121456,0.910665697734534,,,
AUDIT scale,Falcon-3-1B-Instruct,2,2.313730749116902,2.251762036662904,,,
AUDIT scale,Falcon-3-1B-Instruct,3,0.7595356605743647,0.6684323645179648,,,
AUDIT scale,Falcon-3-1B-Instruct,4,1.1639560219045406,0.9917777509781808,,,
AUDIT scale,Falcon-3-1B-Instruct,5,0.2852716072890731,0.1585807153308601,,,
AUDIT scale,Falcon-3-1B-Instruct,6,0.1832717354632726,0.0285046708063342,,,
AUDIT scale,Falcon-3-1B-Instruct,7,0.0165196776635327,0.0,,,
AUDIT scale,Falcon-3-1B-Instruct,8,0.3808616659104127,0.1375121198110794,,,
AUDIT scale,Falcon-3-1B-Instruct,9,0.2778225304643275,0.0944360951437515,,,
AUDIT scale,Falcon-3-1B-Instruct,10,0.222687803096412,0.0183416545831675,,,
AUDIT scale,Falcon-3-1B-Instruct,11,0.2147964286513713,0.2142201471736833,,,
AUDIT scale,Falcon-3-7B-Instruct,1,0.9162776586047467,0.8700854072635131,,,
AUDIT scale,Falcon-3-7B-Instruct,2,2.3234771527006153,2.35704521720631,,,
AUDIT scale,Falcon-3-7B-Instruct,3,0.8117378048155715,0.7078095520154374,,,
AUDIT scale,Falcon-3-7B-Instruct,4,1.297934201756627,1.2907526329328096,,,
AUDIT scale,Falcon-3-7B-Instruct,5,0.3737618706548835,0.2401943629619729,,,
AUDIT scale,Falcon-3-7B-Instruct,6,0.2626732644135147,0.2147873114903468,,,
AUDIT scale,Falcon-3-7B-Instruct,7,0.0240521198686965,0.0335725354362778,,,
AUDIT scale,Falcon-3-7B-Instruct,8,0.5500385001441127,0.5483697768928396,,,
AUDIT scale,Falcon-3-7B-Instruct,9,0.4169185634323893,0.3777976704935321,,,
AUDIT scale,Falcon-3-7B-Instruct,10,0.3064464124516157,0.3888235114952628,,,
AUDIT scale,Falcon-3-7B-Instruct,11,0.22240155999753,0.3377221506476414,,,
AUDIT scale,LFM2-1.2B,1,0.9293213346808272,0.9601486588200596,,,
AUDIT scale,LFM2-1.2B,2,2.4858236923898662,2.60795355775962,,,
AUDIT scale,LFM2-1.2B,3,0.7873716184686926,0.8873277282916798,,,
AUDIT scale,LFM2-1.2B,4,1.2173738023027936,1.3283750211532472,,,
AUDIT scale,LFM2-1.2B,5,0.3604856374658574,0.4522063751370417,,,
AUDIT scale,LFM2-1.2B,6,0.2974363646821163,0.3948768769100896,,,
AUDIT scale,LFM2-1.2B,7,0.021637964156028,0.0289210489641356,,,
AUDIT scale,LFM2-1.2B,8,0.549631255082468,0.6595003969679255,,,
AUDIT scale,LFM2-1.2B,9,0.4346035087816948,0.596811741788402,,,
AUDIT scale,LFM2-1.2B,10,0.4104754061219192,0.8078820430072131,,,
AUDIT scale,LFM2-1.2B,11,0.297622770094695,0.4269920802944724,,,
AUDIT scale,LFM2-2.6B,1,0.9215959382008329,0.918971515079208,,,
AUDIT scale,LFM2-2.6B,2,2.073909395085289,2.0,,,
AUDIT scale,LFM2-2.6B,3,1.2803800649611068,1.888194072261581,,,
AUDIT scale,LFM2-2.6B,4,1.661996430133064,2.0,,,
AUDIT scale,LFM2-2.6B,5,0.7089222031877577,1.5402478841996183,,,
AUDIT scale,LFM2-2.6B,6,0.3511988516815662,0.6671682646736782,,,
AUDIT scale,LFM2-2.6B,7,0.0510027447400588,0.1396453195544021,,,
AUDIT scale,LFM2-2.6B,8,0.8231153210796095,1.5108030027829,,,
AUDIT scale,LFM2-2.6B,9,0.6240390662655207,1.1336525390108558,,,
AUDIT scale,LFM2-2.6B,10,0.1638800376084024,0.0796639762163168,,,
AUDIT scale,LFM2-2.6B,11,0.144578848990539,0.1201815115144121,,,
AUDIT scale,LFM2-8B-A1B,1,0.9227091511652356,0.9599649711066122,,,
AUDIT scale,LFM2-8B-A1B,2,2.279397275136902,2.1608700775249083,,,
AUDIT scale,LFM2-8B-A1B,3,0.9881891562382462,1.2627861478312308,,,
AUDIT scale,LFM2-8B-A1B,4,1.4177634028381931,1.7024217969606286,,,
AUDIT scale,LFM2-8B-A1B,5,0.5303545970976846,0.7084842156381533,,,
