experiment,model,item,score,score_top_n,category,H_score,score_expected
AUDIT scale,Apertus-70B-Instruct-2509,1,1.5204408029840335,1.519151567285755,,,
AUDIT scale,Apertus-70B-Instruct-2509,2,2.977618709363812,3.053678430527952,,,
AUDIT scale,Apertus-70B-Instruct-2509,3,3.005414617868493,2.8863111644732724,,,
AUDIT scale,Apertus-70B-Instruct-2509,4,2.9985348828543748,2.974723558465199,,,
AUDIT scale,Apertus-70B-Instruct-2509,5,3.133790432629755,3.156438390389238,,,
AUDIT scale,Apertus-70B-Instruct-2509,6,3.081517422982169,2.8616218077863524,,,
AUDIT scale,Apertus-70B-Instruct-2509,7,3.1111334965562594,3.0772021326438885,,,
AUDIT scale,Apertus-70B-Instruct-2509,8,3.117636087559361,3.035223792496407,,,
AUDIT scale,Apertus-70B-Instruct-2509,9,3.108677615869372,3.130529161347183,,,
AUDIT scale,Apertus-70B-Instruct-2509,10,2.020617722290822,1.8216660119528123,,,
AUDIT scale,Apertus-70B-Instruct-2509,11,2.040738563435295,2.0089368762192823,,,
AUDIT scale,Apertus-8B-Instruct-2509,1,1.5142706062815483,1.5502643611070663,,,
AUDIT scale,Apertus-8B-Instruct-2509,2,2.9983679232713873,2.9718518275686336,,,
AUDIT scale,Apertus-8B-Instruct-2509,3,3.0274118217765382,2.9302295551213464,,,
AUDIT scale,Apertus-8B-Instruct-2509,4,2.951829180376639,2.8061455919451386,,,
AUDIT scale,Apertus-8B-Instruct-2509,5,3.128992274641668,3.2612113737018324,,,
AUDIT scale,Apertus-8B-Instruct-2509,6,3.067247109674957,3.0085738398665507,,,
AUDIT scale,Apertus-8B-Instruct-2509,7,3.054368059960281,2.9072324167917176,,,
AUDIT scale,Apertus-8B-Instruct-2509,8,3.101201913929815,3.198191894318746,,,
AUDIT scale,Apertus-8B-Instruct-2509,9,3.08513799767357,2.993700061320734,,,
AUDIT scale,Apertus-8B-Instruct-2509,10,2.092568451850262,2.1741253441566,,,
AUDIT scale,Apertus-8B-Instruct-2509,11,2.027582225456202,1.8389115890023668,,,
AUDIT scale,Falcon-3-10B-Instruct,1,1.5256069962267855,1.5077718706337095,,,
AUDIT scale,Falcon-3-10B-Instruct,2,2.974594622109411,2.9273402906745702,,,
AUDIT scale,Falcon-3-10B-Instruct,3,2.974613670751473,2.922448660951578,,,
AUDIT scale,Falcon-3-10B-Instruct,4,2.96595952851607,2.828840373733406,,,
AUDIT scale,Falcon-3-10B-Instruct,5,3.090904538627097,3.0167335332273373,,,
AUDIT scale,Falcon-3-10B-Instruct,6,3.1508381550816806,3.3392013732984487,,,
AUDIT scale,Falcon-3-10B-Instruct,7,3.0756790442287163,3.0545207449883063,,,
AUDIT scale,Falcon-3-10B-Instruct,8,3.139564098584208,3.078303522046711,,,
AUDIT scale,Falcon-3-10B-Instruct,9,3.095793134429522,2.941408160201538,,,
AUDIT scale,Falcon-3-10B-Instruct,10,2.073227431277606,2.0072661471490156,,,
AUDIT scale,Falcon-3-10B-Instruct,11,2.044738936228732,2.0020451027680664,,,
AUDIT scale,Falcon-3-1B-Instruct,1,1.5158440203894423,1.483115481747206,,,
AUDIT scale,Falcon-3-1B-Instruct,2,2.9799301276874957,3.032075914657868,,,
AUDIT scale,Falcon-3-1B-Instruct,3,3.052600974800859,2.98542129294293,,,
AUDIT scale,Falcon-3-1B-Instruct,4,3.0394891856442876,3.3221839846488774,,,
AUDIT scale,Falcon-3-1B-Instruct,5,3.0807487709306276,3.069440187755488,,,
AUDIT scale,Falcon-3-1B-Instruct,6,3.100663878502618,3.1749995720322493,,,
AUDIT scale,Falcon-3-1B-Instruct,7,3.1363279506400876,3.2290251327928985,,,
AUDIT scale,Falcon-3-1B-Instruct,8,3.0473415968711968,3.0932794423770513,,,
AUDIT scale,Falcon-3-1B-Instruct,9,3.1248094240149937,3.288586201134936,,,
AUDIT scale,Falcon-3-1B-Instruct,10,2.059832714818542,1.9880978138329295,,,
AUDIT scale,Falcon-3-1B-Instruct,11,2.050430713899275,2.097875864529327,,,
AUDIT scale,Falcon-3-7B-Instruct,1,1.5195824867370766,1.5213890739636575,,,
AUDIT scale,Falcon-3-7B-Instruct,2,2.962022066209103,2.871545145326728,,,
AUDIT scale,Falcon-3-7B-Instruct,3,3.0608402359476545,3.097507550453338,,,
AUDIT scale,Falcon-3-7B-Instruct,4,2.949165622967751,2.851715238288362,,,
AUDIT scale,Falcon-3-7B-Instruct,5,3.151422169120056,3.4752539268794567,,,
AUDIT scale,Falcon-3-7B-Instruct,6,3.1149682527633886,2.977789481449247,,,
AUDIT scale,Falcon-3-7B-Instruct,7,3.127016765740005,3.1235437940868955,,,
AUDIT scale,Falcon-3-7B-Instruct,8,3.124523672206761,3.3975350527124992,,,
AUDIT scale,Falcon-3-7B-Instruct,9,3.065190642303084,2.960894394579866,,,
AUDIT scale,Falcon-3-7B-Instruct,10,2.054868403030409,2.1869987373746325,,,
AUDIT scale,Falcon-3-7B-Instruct,11,2.057629984108171,2.1494362045768645,,,
AUDIT scale,LFM2-1.2B,1,1.5128851462140838,1.4699659152627782,,,
AUDIT scale,LFM2-1.2B,2,2.9633397382149433,2.864848186712565,,,
AUDIT scale,LFM2-1.2B,3,2.9960159093551253,2.9499209850020667,,,
AUDIT scale,LFM2-1.2B,4,2.975998062674557,2.7750738016766188,,,
AUDIT scale,LFM2-1.2B,5,3.072806645182552,2.986215137943976,,,
AUDIT scale,LFM2-1.2B,6,3.080036424404112,2.940525102485184,,,
AUDIT scale,LFM2-1.2B,7,3.12440825756405,3.126272611888722,,,
AUDIT scale,LFM2-1.2B,8,3.090068612742216,3.110071361622069,,,
AUDIT scale,LFM2-1.2B,9,3.089563782104664,3.2222861570210934,,,
AUDIT scale,LFM2-1.2B,10,2.0330778579074886,2.02412815256595,,,
AUDIT scale,LFM2-1.2B,11,2.052104140204603,2.1005883905763665,,,
AUDIT scale,LFM2-2.6B,1,1.5199006736762868,1.5496090829296194,,,
AUDIT scale,LFM2-2.6B,2,2.9971478096256328,3.022684307879408,,,
AUDIT scale,LFM2-2.6B,3,3.0216283393035326,2.9413887124837923,,,
AUDIT scale,LFM2-2.6B,4,2.933580764809808,2.85278063798828,,,
AUDIT scale,LFM2-2.6B,5,3.170536954227481,3.172565689874229,,,
AUDIT scale,LFM2-2.6B,6,3.0187466285082434,2.964705058367756,,,
AUDIT scale,LFM2-2.6B,7,3.0544933271334815,2.817291079231104,,,
AUDIT scale,LFM2-2.6B,8,3.0470806140964197,2.9903982924138695,,,
AUDIT scale,LFM2-2.6B,9,3.093897116831275,3.159073405340566,,,
AUDIT scale,LFM2-2.6B,10,2.0300823256950866,1.9443292435921335,,,
AUDIT scale,LFM2-2.6B,11,2.06637038081608,1.913940317994629,,,
AUDIT scale,LFM2-8B-A1B,1,1.5177617562369587,1.4909028412125835,,,
AUDIT scale,LFM2-8B-A1B,2,2.977902962393738,3.101041811104784,,,
AUDIT scale,LFM2-8B-A1B,3,3.0610876832240272,3.1038111143497735,,,
AUDIT scale,LFM2-8B-A1B,4,3.019164633267803,3.108529284229607,,,
AUDIT scale,LFM2-8B-A1B,5,3.0469959400102895,2.839827694169802,,,
AUDIT scale,LFM2-8B-A1B,6,3.115364106583262,3.276638038019869,,,
AUDIT scale,LFM2-8B-A1B,7,3.146307398005589,3.1456004643375737,,,
AUDIT scale,LFM2-8B-A1B,8,3.0772749050698267,3.102291446496555,,,
AUDIT scale,LFM2-8B-A1B,9,3.065563144662429,3.2193701414722766,,,
AUDIT scale,LFM2-8B-A1B,10,2.0553255706347264,2.0588584981896196,,,
AUDIT scale,LFM2-8B-A1B,11,2.051775388711155,2.127421609025232,,,
AUDIT scale,Llama-3.1-70B-Instruct,1,1.5348143142152315,1.588513139299797,,,
AUDIT scale,Llama-3.1-70B-Instruct,2,2.966974498506314,2.8984633518939953,,,
AUDIT scale,Llama-3.1-70B-Instruct,3,3.038065373751723,3.3087338557505523,,,
AUDIT scale,Llama-3.1-70B-Instruct,4,2.963980266569662,2.9474223047241948,,,
AUDIT scale,Llama-3.1-70B-Instruct,5,3.1794371015249943,3.647744564435415,,,
AUDIT scale,Llama-3.1-70B-Instruct,6,3.0725003438944825,3.4583665882803967,,,
AUDIT scale,Llama-3.1-70B-Instruct,7,3.1333393292977925,3.2575850198624083,,,
AUDIT scale,Llama-3.1-70B-Instruct,8,3.0772198761880833,3.0721986920009616,,,
AUDIT scale,Llama-3.1-70B-Instruct,9,3.015012889572434,2.8594685760949523,,,
AUDIT scale,Llama-3.1-70B-Instruct,10,2.0459438756014805,2.04669512416747,,,
AUDIT scale,Llama-3.1-70B-Instruct,11,2.020149561449469,1.9747674544120952,,,
AUDIT scale,Llama-3.1-8B-Instruct,1,1.5205143309101836,1.4805083000116923,,,
AUDIT scale,Llama-3.1-8B-Instruct,2,2.9845401880971663,2.9748199946962335,,,
AUDIT scale,Llama-3.1-8B-Instruct,3,2.9924731991528564,2.844037264174821,,,
AUDIT scale,Llama-3.1-8B-Instruct,4,2.977754490349062,2.87498791414473,,,
AUDIT scale,Llama-3.1-8B-Instruct,5,3.0686661971130236,3.10297329960732,,,
AUDIT scale,Llama-3.1-8B-Instruct,6,3.081231566733711,2.917822956302625,,,
AUDIT scale,Llama-3.1-8B-Instruct,7,3.1561180243369633,3.274806119529804,,,
AUDIT scale,Llama-3.1-8B-Instruct,8,3.1468338254006927,3.2160663093791646,,,
AUDIT scale,Llama-3.1-8B-Instruct,9,3.062193303572909,2.945630318259732,,,
AUDIT scale,Llama-3.1-8B-Instruct,10,2.027555912980969,1.812573166541304,,,
AUDIT scale,Llama-3.1-8B-Instruct,11,2.046478500116513,2.1793739962838043,,,
AUDIT scale,Llama-3.2-1B-Instruct,1,1.526615888037322,1.4984075574275826,,,
AUDIT scale,Llama-3.2-1B-Instruct,2,3.0003534635989495,2.96902357947918,,,
AUDIT scale,Llama-3.2-1B-Instruct,3,3.065481270355339,3.255518602415242,,,
AUDIT scale,Llama-3.2-1B-Instruct,4,2.983309485730431,3.098972313098354,,,
AUDIT scale,Llama-3.2-1B-Instruct,5,3.1692231002451816,3.3412195516207905,,,
AUDIT scale,Llama-3.2-1B-Instruct,6,3.041582053111647,2.7778392352131864,,,
AUDIT scale,Llama-3.2-1B-Instruct,7,3.1213119893691728,3.004937335779103,,,
AUDIT scale,Llama-3.2-1B-Instruct,8,3.135271896495634,3.326395444039849,,,
AUDIT scale,Llama-3.2-1B-Instruct,9,3.076300583745493,3.032922903311724,,,
AUDIT scale,Llama-3.2-1B-Instruct,10,2.0531838083890404,1.857912265589486,,,
AUDIT scale,Llama-3.2-1B-Instruct,11,2.072316511631743,2.0738397264452173,,,
