experiment,model,item,score,score_top_n,category,H_score,score_expected
AUDIT scale,Apertus-70B-Instruct-2509,1,1.522957136283128,1.558416994228384,,,
AUDIT scale,Apertus-70B-Instruct-2509,2,2.987443208068233,3.082907371631707,,,
AUDIT scale,Apertus-70B-Instruct-2509,3,3.0440676228054593,3.095611783954972,,,
AUDIT scale,Apertus-70B-Instruct-2509,4,3.0634996272411885,3.159855206650512,,,
AUDIT scale,Apertus-70B-Instruct-2509,5,3.1033480464301615,3.2195760678109298,,,
AUDIT scale,Apertus-70B-Instruct-2509,6,3.0932004363331074,3.216608254607123,,,
AUDIT scale,Apertus-70B-Instruct-2509,7,3.089555451369397,2.7548643191774227,,,
AUDIT scale,Apertus-70B-Instruct-2509,8,3.076365802765487,2.9583054748508664,,,
AUDIT scale,Apertus-70B-Instruct-2509,9,3.1339922687672295,3.336474105841071,,,
AUDIT scale,Apertus-70B-Instruct-2509,10,2.065643774559983,2.041419022893628,,,
AUDIT scale,Apertus-70B-Instruct-2509,11,2.049424743951871,2.149189108813803,,,
AUDIT scale,Apertus-8B-Instruct-2509,1,1.5232050915407247,1.5396598047395094,,,
AUDIT scale,Apertus-8B-Instruct-2509,2,2.9950759200689663,3.049887424450446,,,
AUDIT scale,Apertus-8B-Instruct-2509,3,2.983138742128511,2.8976090352676747,,,
AUDIT scale,Apertus-8B-Instruct-2509,4,3.0186363138048367,2.987315318962178,,,
AUDIT scale,Apertus-8B-Instruct-2509,5,3.173012485431589,3.3525389735275555,,,
AUDIT scale,Apertus-8B-Instruct-2509,6,3.059106826410624,3.1146105119497696,,,
AUDIT scale,Apertus-8B-Instruct-2509,7,3.0704493398824235,3.1097654090778755,,,
AUDIT scale,Apertus-8B-Instruct-2509,8,3.1211068763331897,3.1081723713717393,,,
AUDIT scale,Apertus-8B-Instruct-2509,9,3.0850407253335774,3.0584017177303697,,,
AUDIT scale,Apertus-8B-Instruct-2509,10,2.0847561039543625,2.1558189060509023,,,
AUDIT scale,Apertus-8B-Instruct-2509,11,2.0614624639482657,2.1205922267952495,,,
AUDIT scale,Falcon-3-10B-Instruct,1,1.524207429241559,1.521854356043601,,,
AUDIT scale,Falcon-3-10B-Instruct,2,2.985324315141945,2.942137432698199,,,
AUDIT scale,Falcon-3-10B-Instruct,3,3.03718200671084,2.9809975986378414,,,
AUDIT scale,Falcon-3-10B-Instruct,4,2.984776431820199,2.9597313800829093,,,
AUDIT scale,Falcon-3-10B-Instruct,5,3.090932208750955,3.0995329916673127,,,
AUDIT scale,Falcon-3-10B-Instruct,6,3.116727595471066,3.2054160270785537,,,
AUDIT scale,Falcon-3-10B-Instruct,7,3.1056713662566597,2.8135009207662747,,,
