model,AUDIT,BISa,BISm,BISn,CAREa,CAREs,CAREw,DAST,DM,Deth,Dgam,Dhea,Dinv,Drec,Dsoc,FTND,GABS,PG,PRI_certainty,PRI_decision,SOEP,SOEPdri,SOEPfin,SOEPhea,SOEPocc,SOEPrec,SOEPsoc,SSbor,SSdis,SSexp,SStas,BART,CCT,DFD,DFE,LOT,MPL
Apertus-70B-Instruct-2509,2.20511682623045,17.958576157232955,24.869790278079368,21.785545901059383,2,1,1,2.2233373934146434,20.92881293559573,2.144769342200816,1.909488324501242,2.863461198520193,1.5672510269127229,2.7442809974305558,3.8832754645174443,1.8963866290693958,45.8737888492256,9.595031752386705,6.0759317966437765,1.707314861420668,6.574134687546306,1.1002159276612484,1.1000808922133745,3.8041566763982817,5.6398387826114025,6.689707051119209,7.614393043949793,15.94334162467717,16.44931106022578,16.381209429962034,15.413468273640609,35.11355311979813,,0.5186803978361052,0.4417820331994813,0.5017388884185203,2
Apertus-8B-Instruct-2509,1.884881771225508,14.716622369738069,25.44898974553023,17.7571772313526,1,0,0,0.5726756085416548,13.516819296142693,1.1124213129229137,1.1717464777270918,2.2529820530321354,1.7792182790508377,1.704470076966667,2.704609302031332,1.3089606463730736,59.87858301196253,5.688496943939489,4.6819326007134485,1.6853657473915924,5.2009239339381494,1.1005847371458417,1.101143907674025,2.8873570820674868,5.792533291646487,6.650138125161022,5.7908371458800945,15.586128410599315,12.815114674779347,13.921511775073272,14.630914405745942,32.670649381353186,215.14491432431828,0.46585393823603305,0.4472876670244308,0.48899717859038994,2
Falcon-3-10B-Instruct,2.3440605275839634,14.425461935372425,23.170056030903698,20.8463369060087,1,2,2,4.282900012347507,9.179056671870192,1.2899925975303705,1.709777550328203,2.065343664202384,1.5653557870092785,2.0660830353983446,2.893182868887019,3.464192798622581,46.31152812459275,15.63373381141883,5.001021120573,1.5020052086580005,6.96168016860066,1.1000741198316404,1.0,3.0628075998690014,5.999648216996491,6.980663632501263,5.731718570142321,15.201221427702588,12.962398058650189,15.243615845877091,14.912042914270257,23.352448374884727,306.61150377630884,0.42870981576604444,0.3887133842688476,0.4833051793048863,4
Falcon-3-1B-Instruct,1.639826562457395,14.165716565001054,19.03431999127043,25.774195082806468,2,0,0,1.6845108586839297,21.773999976712098,1.5543381221232981,1.045702418382149,2.9831458735063427,1.325675552851086,2.3099772125518383,3.26195969467271,3.7865277567949542,53.720914906746316,9.677947434023935,6.582849242533729,1.8627475250361971,5.192545436693627,1.0,1.1050160733220342,2.4594895134014942,5.974949957029033,6.956982399627015,4.408236908083675,14.73217458288763,15.442782508157846,15.455289801805279,15.720306747582999,30.47571543386942,452.1579053912137,0.48858672305251866,0.417470258026522,0.4596899670535193,1
Falcon-3-7B-Instruct,1.4576858117136458,14.833555814560995,24.938908807732798,19.64936036905513,1,0,2,2.8556597316245877,19.439761480797255,1.931800060163037,1.2428522140944858,3.4757074588963746,1.1786273115642218,3.649621095286778,3.6664692059981547,3.9386229140239295,50.179473555034775,4.592423698716268,4.663103365193753,1.6470107866416728,5.0550332786168575,1.0,1.0,2.8709111285840234,5.968273218324935,6.59477032422039,6.177328645514002,14.487967391595772,13.429053854076043,13.669554219682245,11.913950994367308,17.873157286946498,212.45334906402985,0.43046363981833263,0.40720923903627904,0.5028038973620707,6
LFM2-1.2B,2.007478296987131,17.64449399705065,24.77228881294251,24.975118995657496,1,1,0,3.1663837740822403,4.576633008561736,1.9304568898181311,1.4193094215049964,2.6767507309215466,1.5672784220195366,2.228654930571339,3.5814644774967244,2.3473507397059588,55.24732208116883,2.3833375089924482,5.138479278537817,1.6635214861577197,5.046746191709609,2.9658457149670485,3.18125759263016,3.907844108433877,6.037012534623943,6.3410407374631,5.9726150540804275,14.91704171271879,13.019885446632733,15.856253934239819,15.150982357107903,35.9508380400678,433.37022445905154,0.5050475593014395,0.4472707991013485,0.4353250513726378,1
LFM2-2.6B,1.9605238427532123,12.647457156207754,22.396506259437462,21.26224325814478,1,0,1,4.032702051294565,7.95431985789736,1.2359793151036504,1.0688886339996029,1.555814635046846,1.007393763743532,1.348177499114647,2.353415262507948,3.551493954288675,58.60905748324577,4.020218686135793,6.814129252831115,1.4222909368467667,7.265677914499573,3.776755497437026,2.894026714498106,4.836291860128122,6.504251248114122,7.011116742052151,5.802293585994694,14.824866219832089,15.669876268935413,16.078590355380694,16.9311966747517,34.83177593409527,422.887018076264,0.530147036260622,0.3849530393182277,0.4238306826524126,1
LFM2-8B-A1B,1.6060396486457542,14.543748235414016,20.039301396268197,23.185406779399592,1,1,2,4.095567014607607,4.335862592742923,1.4261225579169625,1.2458020425604495,1.9169079730947238,1.1920453212604603,2.069228826340902,2.8608485068774074,2.6597105946202,56.83554355828642,4.419180429914647,6.4370080895605195,1.9063277077679688,6.666039814833402,2.173205265000977,2.3065048066274096,2.9595953012493244,6.08505016642617,6.342448542255275,5.095649011514503,14.821905700500151,16.562266914596197,15.66385208560337,17.419452415733858,30.819375023952947,468.08514224450926,0.5337554014787061,0.38860645709394515,0.5173535715814395,2
Llama-3.1-70B-Instruct,2.036985694044454,14.365631331874466,24.339842319903443,15.650696832553463,2,2,3,2.0618492586324764,9.644629996840594,2.0307838469206896,1.1211400386153887,2.8751282926620383,1.328779581677886,3.0904164680020973,3.8443304741510653,3.14008006782339,56.03327438550408,6.880168155925597,6.789296380451646,1.363635305962168,4.597713041869979,1.0968494734856973,2.50545006239132,4.018962258840725,4.9952827506303885,3.6924765707295903,6.847152626811991,15.332289159388967,13.30619934118682,15.171574865325894,15.496871492256663,20.202079949965285,387.46583814665206,0.42809463268118697,0.4094301635919924,0.45847050035760745,5
Llama-3.1-8B-Instruct,2.0517498445013027,11.587229657679064,15.918272910636805,20.32309698469419,2,2,3,6.696568877649365,4.699637419730419,1.6733158479144692,1.0793927333445572,2.4139440353828845,1.0191819460750602,1.208079169297053,2.7884259779166367,2.041592349506089,54.670469731600505,5.66213048321061,5.8517569873255555,1.41326982230716,5.540646040370699,5.3490158536178605,2.6399910262597404,5.153081621715888,6.102875819710356,5.609569562811913,5.308918937678393,14.684647420645081,13.28486374492169,15.10819281915402,15.65984673241308,18.967727682330686,334.67757155533707,0.4906196352536135,0.4400539855418891,0.46996706146954026,3
